Termo,Título,Resumo,Palavras-chave,URL artigo
educação à distância,DOCÊNCIA NA EDUCAÇÃO À DISTÂNCIA: PROCESSOS DE SUBJETIVAÇÃO,"O presente estudo foi produzido para conhecer como os professores universitários vivenciaram a transição da educação superior presencial para a docência no ensino à distância, focalizando a subjetividade docente nas variações decorrentes da nova situação de trabalho. Metodologicamente trata-se de uma pesquisa qualitativa conduzida pela realização de entrevistas semiestruturadas e que adotou como estratégia o estudo de caso visando a caracterização detalhada das mudanças produzidas nos modos de trabalhar. A discussão dos resultados revelou a enorme distância existente entre o ensino presencial e a EAD (Educação à Distância) o que evidenciou a adoção de estratégias de inserção de manutenção nas novas condições laborais. Foram evidenciados os processos de subjetivação dos docentes assim como os procedimentos de controle que passam a incidir sobre o trabalho docente na nova modalidade. Como conclusão provisória destacou-se o desaparecimento da relação presencial e a precarização do trabalho docente.",subjetividade; trabalho docente; mídia,https://www.scielo.br/j/pee/a/wx75hKgC4HHrVtgvkcT5ysN/?lang=pt
educação à distância,ENSINO REMOTO PARA ESTUDANTES DO PÚBLICO-ALVO DA EDUCAÇÃO ESPECIAL NOS INSTITUTOS FEDERAIS,"Em decorrência da pandemia da Covid-19 e das medidas de distanciamento social requeridas, as aulas presenciais foram suspensas no início de 2020. Diante desse novo contexto, o objetivo do estudo consistiu em analisar como ficou o ensino para os estudantes público-alvo da educação especial (PAEE) nos Institutos Federais de Educação, Ciência e Tecnologia (IFs). A abordagem exploratória e descritiva, do tipo pesquisa de levantamento, foi realizada junto a 156 docentes de diferentes campi dos IFs. A coleta de dados foi realizada por meio de questionário. Os dados obtidos foram sistematizados, organizados e analisados quantitativa e qualitativamente em categorias temáticas, acompanhando as variáveis do instrumento. Os resultados evidenciaram que os docentes buscaram diferentes alternativas no ensino remoto, tais como: planejar colaborativamente; adotar procedimentos diferenciados no planejamento específico; prever modificações na prática pedagógica; utilizar material didático e avaliações adaptadas etc. As tecnologias e o ambiente virtual foram considerados tanto em aspectos positivos quanto desafiadores. Conclui-se que a demanda para atender às necessidades educacionais dos estudantes PAEE no ensino remoto exigiu o replanejamento dos processos pedagógicos com diferentes ações que variaram a depender de cada instituto. Contudo, faltaram diretrizes para elaborar o plano de ensino individualizado, assim como maior articulação com os professores de educação especial, o que pode impactar a qualidade do ensino e a aprendizagem do PAEE. Sugere-se que outras pesquisas sejam desenvolvidas, buscando maior aprofundamento e a avaliação das experiências docentes durante o ensino remoto no contexto da pandemia.",inclusão escolar; covid-19; planejamento educacional; acessibilidade curricular; educação profissional,https://www.scielo.br/j/edur/a/HVbpYScg5kWBDg4Q6QsnnKc/?lang=pt
educação à distância,INSTITUCIONALIZAÇÃO DA EDUCAÇÃO A DISTÂNCIA PÚBLICA ENQUANTO FENÔMENO ESSENCIALMENTE DIALÉTICO,"O objetivo deste artigo é examinar as relações de causa e efeito no processo de incorporação orgânica da Educação a Distância (EaD) nas universidades públicas. Para tanto, propomos o conceito de dialética para explicar a institucionalização da modalidade. No que se refere à metodologia, a partir da triangulação metodológica utilizamos diferentes instrumentos, estratégias e fontes de coleta, a saber: análise documental; grupos focais virtuais; entrevistas semiestruturadas; técnica Delphi; e questionário virtual. Os dados foram analisados mediante as abordagens qualitativa e quantitativa, sem perder de vista a nossa matriz epistemológica concernente à sociologia compreensiva de Max Weber. Esta diz respeito à apreensão das universidades enquanto aglomerados de sujeitos que atribuem sentido subjetivo à sua ação socialmente orientada. Com o estudo, chegamos ao entendimento de que a institucionalização da EaD é um fenômeno essencialmente dialético, porque está enredado em constantes embates movidos pelas contradições imanentes. Enquanto persistem as visões dicotômicas, sobretudo por meio do modelo instituído pelo Sistema Universidade Aberta do Brasil (UAB), tem-se importantes percalços na incorporação orgânica da modalidade. Assim sendo, consideramos que a superação dessa política pública de caráter emergencial tende a culminar no processo maior de síntese, em que EaD e educação presencial se tornam justapostas. Chega-se à educação híbrida, uma vez que os qualificativos “presencial” e “a distância” se tornam secundários, dando-se maior enfoque ao processo educacional.",educação a distância; institucionalização; Sistema UAB; dialética,https://www.scielo.br/j/edur/a/rZrHFb9Dz4SJqTNyc7QfxyK/?lang=pt
educação à distância,O ENSINO REMOTO DE EDUCAÇÃO FÍSICA EM NARRATIVA: ENTRE RUPTURAS E APRENDIZADOS NA EXPERIÊNCIA COM A TECNOLOGIA,"A literatura tem apostado na compreensão coevolutiva entre tecnologia e educação destacando o professor como peça-chave neste processo. O objetivo do texto é problematizar a vivência pedagógica de uma professora de Educação Física da rede estadual de ensino durante a pandemia de covid-19, sob as lentes do neotecnicismo e das literacias emergentes. Adotou-se a metodologia qualitativa a partir dos estudos narrativos, dos casos pedagógicos e suas contribuições para formação docente. Como resultados percebeu-se o sentimento de incompetência para lidar com plataformas digitais, o apoio de uma rede de colaboração por pares, a urgência do “como utilizar ferramentas tecnológicas” e, em segundo plano, “o que ensinar”. Considera-se, por fim, que pensar o ensino remoto de Educação Física na pandemia é mais do que pensar em tecnologia, mas antes é refletir sobre como o professor se forma pela experiência e as possibilidades de modificação na percepção de aula de Educação Física neste contexto. ",Educação Física; Covid-19; Educação a distância; Narrativa Pessoal,https://www.scielo.br/j/mov/a/zwjhPff8QG3cFgQ8xxVQQZD/?lang=pt
educação à distância,APRENDIZAGEM VIRTUAL: UM AUTOESTUDO SOBRE EVOLUÇÕES EM PRÁTICAS PEDAGÓGICAS,"Este artigo relata a primeira fase de um projeto de três anos em que exploramos formas de adaptar e desenvolver nossas práticas pedagógicas em relação ao uso de novas e emergentes tecnologias digitais. Neste artigo, nos concentramos em nossas experiências de ensino remoto de emergência (ERT). Essa experiência aconteceu no meio do semestre, onde tivemos que migrar do ensino presencial, em sala de aula, para o ensino remoto. Através de uma abordagem dialética, possibilitada pelo autoestudo, tivemos a oportunidade de apoiar uns aos outros, descrever os principais desafios que enfrentamos e identificar os principais pressupostos que sustentam nossas práticas como professores em contextos de aprendizagem a distância, ensino digital. Os temas encontrados nessa relação dialética foram nomeados como: a visibilidade dos alunos, as restrições da tecnologia e o fato de voltarmos a ser professores universitários novatos novamente. ",Educação a distância; Educação superior; covid-19; Autoestudo; Alfabetização digital,https://www.scielo.br/j/mov/a/YhQNtPR57hw7SwsdtdKMVRd/?lang=pt
educação à distância,Remando ou guiando o barco? Modelos de governança para as políticas de Educação Superior no Brasil pós-1990,"Este artigo tem como objetivo analisar o papel que os governos no Brasil têm desempenhado na condução de políticas de Educação Superior, tomando como referência uma tipologia que estabelece quatro modos de governança para a este tipo de Educação: o hierárquico, o procedimental, a condução a distância e a autogovernança. Além disso, considera três diferentes fases do Estado avaliador, para analisar o seu grau de autonomia frente aos organismos internacionais. Com base no referencial teórico adotado, conduz-se um estudo de caso do sistema de Educação Superior brasileiro, no período de 1995 a 2017, por meio de pesquisa documental e análise de conteúdo. Os resultados indicam que o modo de governança das políticas de Educação Superior no Brasil é, predominantemente, de condução a distância, com traços do modo hierárquico. Além disso, evidencia-se que o Estado mantém relativa autonomia frente aos organismos internacionais, dando sinais de aproximação com a Organização para a Cooperação e Desenvolvimento Econômico.",Educação Superior; Governança; Avaliação da qualidade,https://www.scielo.br/j/ensaio/a/XzGxBYn8j6tRp67HLjXq35r/?lang=pt
educação à distância,Territórios pouco explorados: o estudo dos registros de visitantes em livros de comentários de dois museus de ciências brasileiros,"Neste trabalho, de caráter qualitativo e exploratório, estudamos os livros de comentários de dois museus e centros de ciências brasileiros - a Casa da Ciência da Universidade Federal do Rio de Janeiro e o Museu Ciência e Vida da Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro - a fim de compreender e explorar seu potencial para coletar dados sobre a opinião dos públicos. Ao todo coletamos 1.724 comentários de 10 livros, do período de 2011 a 2018. Para exploração e análise, adotamos a análise de conteúdo, bem como um protocolo que divide os comentários em: pré-ativo, ativo e proativo. Nos interessou analisar os comentários apontados como ativos e proativos, totalizando em 1.512 registros, organizados nas seguintes categorias: acessibilidade; afetividade; ciência e aprendizagem; equipe; exposição; infraestrutura; papel dos espaços museológicos na sociedade.A multiplicidade de fatores que puderam ser elencados ao estudarmos os livros de comentários, nos permite afirmar que eles são uma rica fonte de informação a respeito dos públicos que frequentam os museus e suas demandas. Contudo, eles ainda são territórios pouco explorados, tanto nas instituições museais, quanto em áreas acadêmicas, e esses registros não podem ser silenciados e esquecidos.",livros de comentários; museus; estudos de público; divulgação científica,https://www.scielo.br/j/pci/a/rbmxPhGHcPf3CXKtqdKX5xN/?lang=pt
educação à distância,Competência em Informação no contexto EAD: reflexões sobre as práticas profissionais do tutor a distância,"Apresenta resultado de pesquisa, que objetivou analisar a Competência em Informação no contexto da Educação a Distância (EAD), por meio da prática profissional de tutores a distância. Para tanto, como aporte teórico a pesquisa discorre sobre temas relacionados à EAD, Competência em Informação, os sete pilares de Bruce (1999) e sugere um quadro que inter-relaciona as temáticas. Os procedimentos metodológicos adotados referem-se a uma pesquisa de campo em uma instituição de ensino EAD, de uma cidade do interior do Paraná. Os dados qualitativos foram colhidos por meio de entrevista semiestruturada com os tutores a distância, com objetivo de identificar a prática da Competência em Informação em suas atuações profissionais. Os resultados identificaram que embora os tutores apresentem habilidades informacionais, a prática da CoInfo não é institucionalizada na universidade em questão. Conclui-se que a aplicação de modelos de Competência em Informação é essencial para a otimização de práticas profissionais no cenário EAD.",Competência em Informação; Educação a Distância; Tecnologia da Informação; Comunicação,https://www.scielo.br/j/pci/a/8CQVwGrKrgPVS3PdPFcHRxg/?lang=pt
educação à distância,No desligar das câmeras: experiências de estudantes de ensino superior com o ensino remoto no contexto da Covid-19,"Este artigo apresenta os movimentos iniciais de uma pesquisa etnográfica realizada com estudantes de ensino superior sobre suas experiências com o ensino remoto em 2020. Após a suspensão das atividades presenciais na pandemia, professores e estudantes se viram imersos em desafios decorrentes de um afrouxamento dos vínculos que sustentam a relação ensino-aprendizagem. Dessa forma, busca-se compreender como estudantes percebem e significam suas experiências com o ensino remoto, considerando-se as condições materiais para tanto e a rede de atores e agências que passam a determinar essas experiências no espaço doméstico. Assim, este estudo se volta para a dimensão vivencial das tecnologias digitais, considerando-se sua ubiquidade na vida contemporânea. Pretende-se, por fim, contribuir para a concepção de projetos educacionais que transcendam a instrumentalização tecnológica e se alinhem às gramáticas interativas mais significativas das socialidades contemporâneas, marcadas pela pervasividade das tecnologias digitais.",Pandemia; Ensino remoto emergencial; Etnografia; Educação Superior; Joinville,https://www.scielo.br/j/civitas/a/sh4bXpyhyNmPgSH4snCTrKx/?lang=pt
educação à distância,ANÁLISE EMPÍRICA E INVESTIGAÇÃO DE INTERVENÇÃO SOBRE O MECANISMO DE INFLUÊNCIA NA SAÚDE DOS ESTUDANTES UNIVERSITÁRIOS SOB A PERSPECTIVA DO DESPORTO PÚBLICO,"A construção de esportes públicos não só melhora o desempenho esportivo dos estudantes universitários, como também melhora o nível de saúde desses estudantes. Atualmente, as instalações esportivas em faculdades e universidades não são boas, e as razões para impedir a melhoria da saúde física dos estudantes são mais complexas. A fim de explorar os problemas existentes na construção de esportes públicos em faculdades e universidades, este estudo utilizou o método da literatura, o método Delphi, o método de levantamento por questionários e o método de análise de fatores para analisar o mecanismo de impacto na saúde dos estudantes universitários, e realizou pesquisas de intervenção de acordo com os resultados da análise. A análise de fatores foi usada para extrair os fatores dos alunos, fatores escolares, fatores dos pais e fatores sociais dos trinta fatores que influenciam o questionário, e através de análise empírica, resumiu-se o mecanismo de influência da saúde dos alunos, como pressão na aprendizagem, carga curricular de educação física, atenção à saúde familiar e assim por diante. Tendo em conta os principais fatores influenciadores, concebeu-se a intervenção visada, incluindo a melhoria da conscientização dos estudantes e dos pais para o exercício físico e o reforço da carga dos programas de educação física nas faculdades e universidades. Antes e depois da intervenção, o teste de sprint e de longa distância dos estudantes mostra que a aptidão física dos estudantes foi significativamente melhorada, e os resultados da intervenção mostram que a intervenção orientada pode promover o desenvolvimento saudável dos estudantes universitários. Espera-se que este estudo possa reforçar o nível de concepção dos serviços de públicos esportivos em faculdades e universidades, de modo a melhorar a qualidade física dos estudantes.",Estudantes; intervenção na saúde; mecanismo de influência; método de análise de fatores,https://www.scielo.br/j/rbme/a/qDmtn88cxCTGbhHmnQBJswS/?lang=en
